"","Artist","User","LIKE_ARTIST","Beautiful","Fun","Cool","Thoughtful","Current"
"81","49","48880",NA,0,0,0,0,0
"82","35","29144",NA,0,0,0,0,0
"83","39","31073",51,0,0,0,1,0
"84","36","30022",NA,0,0,0,0,0
"85","46","43858",30,0,0,0,0,0
"86","40","47795",97,0,0,0,0,0
"87","49","48895",NA,0,0,0,0,0
"88","49","48896",NA,0,0,0,0,0
"89","26","23611",31,0,0,0,0,1
"90","23","18052",NA,0,0,0,0,0
"91","35","29152",NA,0,0,1,0,0
"92","23","18053",NA,0,0,0,0,0
"93","23","18051",NA,0,0,0,0,0
"94","35","29158",NA,0,0,0,0,0
"95","46","43835",28,0,0,0,0,0
"96","23","18059",NA,0,0,0,0,0
"97","49","48891",NA,0,0,0,0,0
"98","36","30031",NA,0,1,0,0,0
"99","36","30032",NA,0,0,0,0,0
"100","26","23604",29,0,0,0,0,0
"101","35","29153",NA,1,0,1,1,1
"102","36","30033",NA,0,1,0,0,0
"103","23","18050",NA,0,0,0,0,0
"104","49","48892",NA,0,0,0,1,0
"105","36","30034",NA,0,0,0,0,1
"106","46","43848",32,0,0,0,0,0
"107","49","48894",NA,0,1,0,0,0
"108","36","30030",NA,0,0,0,0,0
"109","36","30035",NA,0,0,0,0,0
"110","23","18049",NA,0,0,0,0,0
"111","23","18046",NA,0,0,0,0,0
"112","23","18045",NA,0,0,0,0,0
"113","14","31564",NA,0,0,0,0,0
"114","35","29121",NA,0,0,0,0,0
"115","14","31563",NA,1,0,0,0,0
"116","36","30006",NA,0,0,0,0,0
"117","36","30270",65,1,0,1,0,0
"118","36","30005",NA,0,0,0,0,0
"119","35","29120",NA,0,0,0,0,0
"120","36","30009",NA,0,0,0,0,0
"121","47","45993",NA,0,0,0,0,1
"122","49","48861",NA,0,0,0,1,1
"123","35","29139",NA,0,0,0,0,0
"124","46","43823",43,0,0,0,0,0
"125","49","48879",NA,0,0,0,0,0
"126","49","48878",NA,0,0,0,0,0
"127","40","47778",92,0,1,1,0,1
"128","39","31053",46,0,0,0,0,0
"129","35","29138",NA,0,0,0,0,0
"130","14","31553",NA,0,0,0,0,0
"131","14","31554",NA,0,0,0,0,0
"132","36","30019",NA,0,0,0,0,0
"133","39","31071",20,0,0,0,0,0
"134","36","30017",NA,0,0,1,0,1
"135","4","3772",50,0,1,1,0,0
"136","36","30013",NA,0,0,0,0,1
"137","14","31558",NA,0,0,0,0,0
"138","36","30014",NA,0,0,0,0,0
"139","46","43807",29,0,0,0,1,0
"140","35","29140",NA,0,0,0,0,0
"141","46","43551",NA,1,0,1,0,0
"142","35","29194",NA,1,0,0,0,1
"143","40","47891",NA,0,0,0,0,1
"144","35","29190",NA,0,0,0,0,0
"145","35","29196",NA,0,0,0,0,0
"146","46","43550",NA,0,0,0,0,0
"147","36","30051",NA,0,0,0,0,0
"148","35","29195",NA,1,0,0,1,0
"149","36","30067",NA,0,0,0,0,0
"150","36","30068",NA,0,0,0,0,0
"151","46","43559",NA,0,0,1,0,0
"152","36","30069",NA,0,0,0,0,0
"153","36","30065",NA,0,1,1,0,1
"154","41","41092",30,0,0,0,0,0
"155","36","30066",NA,0,0,0,0,0
"156","46","43887",31,0,0,0,0,0
"157","46","43566",NA,0,0,1,1,0
"158","46","43567",NA,0,0,0,0,0
"159","35","29186",NA,0,0,1,0,0
"160","35","29181",NA,1,0,0,0,0
"161","41","41097",49,0,0,0,0,0
"162","36","30061",NA,0,0,0,0,0
"163","46","43541",NA,0,0,0,0,0
"164","36","30060",NA,0,0,0,0,0
"165","36","30075",NA,0,0,0,0,0
"166","46","43547",NA,0,0,0,0,0
"167","10","33957",NA,0,0,0,0,0
"168","36","30074",NA,0,0,0,0,0
"169","35","29198",NA,0,0,1,0,0
"170","36","30076",NA,0,0,0,0,0
"171","35","29199",NA,1,0,0,0,0
"172","46","43876",30,0,1,0,0,0
"173","35","29192",NA,0,0,0,0,0
"174","46","43555",NA,0,0,0,0,0
"175","35","29191",NA,0,0,0,0,0
"176","35","29197",NA,0,0,0,1,0
"177","46","43578",NA,1,0,0,0,0
"178","40","36195",44,0,0,0,0,1
"179","46","43573",NA,0,0,0,1,0
"180","46","43571",NA,1,0,1,0,0
"181","36","30046",NA,0,0,0,0,1
"182","10","33968",NA,0,0,0,0,0
"183","36","30045",NA,0,0,0,0,0
"184","10","33967",NA,0,1,0,0,0
"185","46","43875",29,0,0,0,0,0
"186","36","30049",NA,0,0,0,0,0
"187","36","30042",NA,0,0,0,0,1
"188","36","30044",NA,0,0,0,0,0
"189","36","30043",NA,0,0,0,0,0
"190","46","43570",NA,0,0,0,0,0
"191","46","43587",NA,0,0,0,0,0
"192","40","47873",NA,0,0,0,0,0
"193","48","49088",38,0,0,1,0,0
"194","35","29163",NA,0,0,0,0,0
"195","46","43561",NA,0,0,0,1,0
"196","35","29184",NA,0,0,0,0,0
"197","46","43563",NA,0,0,0,1,0
"198","35","29183",NA,0,0,0,0,1
"199","35","29185",NA,1,0,0,1,0
"200","46","43562",NA,0,0,0,0,0
"201","46","43851",33,0,0,0,0,0
"202","36","30040",NA,0,1,0,0,0
"203","36","30053",NA,0,0,0,0,0
"204","10","33979",NA,0,0,0,0,0
"205","46","43568",NA,0,0,0,0,0
"206","36","30052",NA,0,0,0,0,0
"207","36","30059",NA,0,0,0,0,0
"208","36","30057",NA,0,0,0,0,1
"209","36","30056",NA,0,0,0,0,0
"210","46","43855",27,0,0,0,0,0
"211","40","47862",NA,0,0,0,0,0
"212","10","33973",NA,0,0,0,0,0
"213","10","33974",NA,0,0,0,0,0
"214","35","29179",NA,1,0,0,1,0
"215","49","48813",NA,0,0,0,0,0
"216","3","3331",51,1,0,1,1,1
"217","49","48811",NA,0,1,0,0,0
"218","40","47732",71,0,1,0,0,0
"219","49","48819",NA,0,0,0,1,0
"220","14","31508",NA,1,0,0,0,0
"221","46","43593",NA,0,0,0,0,0
"222","46","43590",NA,0,0,0,0,0
"223","42","40980",11,0,0,1,0,0
"224","36","29896",48,0,0,0,0,0
"225","40","49531",51,0,0,0,0,0
"226","46","43584",NA,1,0,0,0,0
"227","46","43583",NA,0,0,0,0,0
"228","46","43597",NA,0,0,0,0,1
"229","42","40978",29,0,0,0,0,0
"230","49","48818",NA,0,0,0,0,0
"231","49","48817",NA,0,0,0,1,0
"232","42","40948",46,0,1,0,0,0
"233","42","40981",32,0,0,0,0,0
"234","36","30072",NA,0,0,0,0,0
"235","39","31004",18,0,0,1,1,0
"236","36","30070",NA,0,1,0,0,0
"237","13","11308",NA,0,0,0,0,0
"238","13","11309",NA,0,0,0,0,0
"239","13","11304",NA,0,0,0,0,0
"240","13","11302",NA,0,0,0,0,0
"241","47","45903",NA,0,0,0,0,1
"242","13","11301",NA,0,0,0,0,0
"243","22","18038",72,1,0,0,0,0
"244","47","45926",NA,0,0,0,0,0
"245","22","18033",71,1,0,0,1,0
"246","49","48809",NA,0,0,0,0,0
"247","40","49501",68,0,0,0,0,0
"248","13","11318",NA,0,0,0,0,0
"249","42","40986",36,0,0,0,0,0
"250","47","45909",NA,0,0,0,0,0
"251","13","11311",NA,0,0,0,0,0
"252","13","11310",NA,0,0,0,0,0
"253","13","11313",NA,0,0,0,0,0
"254","13","11315",NA,0,0,0,0,0
"255","38","29973",84,0,0,1,1,0
"256","13","11330",NA,0,0,0,0,0
"257","13","11335",NA,0,0,0,0,0
"258","40","36120",81,0,0,0,0,1
"259","25","19726",NA,0,0,0,0,0
"260","13","11338",NA,0,0,1,0,0
"261","43","43211",72,1,0,0,0,0
"262","48","49014",34,0,0,0,0,0
"263","40","36146",57,0,0,1,0,0
"264","25","19720",NA,0,0,1,1,0
"265","40","47779",83,0,1,0,0,0
"266","48","49024",31,0,0,0,0,0
"267","25","19721",NA,0,0,0,0,0
"268","13","11321",NA,0,0,0,0,0
"269","13","11320",NA,0,0,0,0,0
"270","13","11323",NA,0,0,0,0,0
"271","48","49028",48,0,0,0,0,0
"272","13","11327",NA,0,0,0,0,0
"273","43","43212",65,1,0,0,0,0
"274","48","49031",29,0,0,0,0,0
"275","13","11322",NA,0,0,0,0,0
"276","40","36113",84,0,0,0,0,0
"277","40","36124",68,1,0,1,0,1
"278","13","11334",NA,0,0,0,0,0
"279","48","49034",31,0,0,0,0,0
"280","13","11356",NA,0,0,0,0,0
"281","13","11352",NA,0,0,0,0,0
"282","13","11357",NA,0,0,0,0,0
"283","13","11355",NA,0,0,0,0,0
"284","13","11359",NA,0,0,0,0,0
"285","42","40953",32,0,0,0,0,0
"286","42","40951",28,0,0,1,0,0
"287","13","11354",NA,0,0,0,0,0
"288","13","11353",NA,0,1,0,0,0
"289","25","19757",NA,0,0,0,0,0
"290","13","11351",NA,0,0,0,0,0
"291","13","11345",NA,0,0,0,0,0
"292","13","11347",NA,0,0,0,0,0
"293","13","11346",NA,0,0,0,0,0
"294","13","11341",NA,0,0,0,0,0
"295","10","34358",8,0,0,0,0,0
"296","13","11344",NA,0,0,0,0,0
"297","46","43500",NA,0,0,0,0,0
"298","33","33283",47,0,0,0,0,0
"299","25","19759",NA,0,0,0,0,0
"300","13","11349",NA,0,0,0,0,0
"301","43","43208",82,1,0,0,1,0
"302","11","39495",7,0,0,0,0,1
"303","25","19769",NA,0,0,0,0,0
"304","13","11340",NA,0,0,0,0,1
"305","40","36126",46,0,0,0,0,0
"306","28","24212",NA,0,0,0,0,0
"307","28","24213",NA,0,0,0,0,0
"308","40","36183",61,1,0,0,0,0
"309","28","24214",NA,0,0,0,0,0
"310","46","43510",NA,0,0,0,0,0
"311","10","33876",NA,0,0,0,0,0
"312","43","43284",30,1,1,0,0,0
"313","10","33870",NA,0,0,0,0,0
"314","28","24215",NA,0,0,0,0,0
"315","28","24217",NA,0,0,0,0,0
"316","28","24211",NA,0,0,1,0,0
"317","46","43509",NA,0,0,0,0,0
"318","46","43502",NA,0,0,0,0,0
"319","3","3280",69,1,0,0,0,0
"320","46","43503",NA,0,0,0,0,0
"321","25","19765",NA,0,0,0,0,0
"322","25","19763",NA,0,0,0,0,0
"323","46","43504",NA,0,0,0,0,0
"324","25","19760",NA,0,0,0,0,0
"325","46","43501",NA,0,0,0,0,0
"326","28","24208",NA,1,0,0,1,0
"327","25","19761",NA,0,0,0,0,0
"328","43","43244",74,0,0,1,1,1
"329","25","19762",NA,0,0,0,0,0
"330","43","43243",68,1,0,0,1,1
"331","25","19778",NA,0,0,1,0,0
"332","11","39461",4,0,0,0,0,0
"333","13","11366",NA,0,0,0,0,0
"334","43","43245",68,0,0,0,0,0
"335","46","43520",NA,1,0,0,0,0
"336","28","24226",NA,0,0,0,0,0
"337","28","24229",NA,0,0,0,0,0
"338","13","13123",15,1,0,0,0,0
"339","13","11369",NA,0,0,0,0,0
"340","13","11367",NA,0,0,0,0,0
"341","13","11363",NA,0,0,1,0,1
"342","48","49050",49,1,0,1,1,1
"343","46","43516",NA,0,0,0,0,0
"344","46","43519",NA,1,0,0,0,0
"345","46","43513",NA,0,0,0,0,0
"346","25","19776",NA,0,0,0,0,0
"347","25","19771",NA,0,0,0,0,0
"348","28","24210",NA,0,0,0,0,1
"349","13","11362",NA,0,0,0,0,0
"350","25","19777",NA,0,0,0,0,0
"351","25","19770",NA,0,0,0,0,1
"352","13","11360",NA,0,0,0,0,0
"353","46","43517",NA,1,0,0,0,0
"354","25","19772",NA,0,0,0,0,0
"355","25","19773",NA,0,0,0,0,0
"356","25","19789",NA,0,0,1,0,0
"357","46","43534",NA,1,0,0,1,0
"358","25","19780",NA,0,1,0,0,0
"359","13","11399",NA,0,0,0,0,0
"360","26","22668",51,0,0,0,0,0
"361","25","19787",NA,0,0,0,0,0
"362","25","19786",NA,0,1,1,0,0
"363","46","43527",NA,0,0,0,0,0
"364","25","19788",NA,0,0,0,0,0
"365","25","19781",NA,0,0,0,1,0
"366","46","43526",NA,0,0,0,0,0
"367","25","19785",NA,0,0,0,0,0
"368","13","11395",NA,0,0,0,0,0
"369","46","43524",NA,0,0,0,0,0
"370","46","43528",NA,0,0,0,1,0
"371","46","43523",NA,0,0,0,1,0
"372","46","43525",NA,0,0,0,0,0
"373","13","11392",NA,0,1,0,0,0
"374","25","19784",NA,0,0,0,0,0
"375","46","43522",NA,1,0,0,1,0
"376","25","19783",NA,0,0,0,0,0
"377","43","43269",70,1,0,0,0,1
"378","24","19895",NA,0,0,0,0,0
"379","28","24202",NA,0,0,0,0,0
"380","25","19791",NA,0,0,0,0,0
"381","25","19790",NA,0,0,0,0,0
"382","40","47781",71,0,0,0,0,0
"383","25","19792",NA,0,0,0,0,0
"384","43","43252",69,0,0,1,0,1
"385","40","47783",74,0,0,1,0,1
"386","46","43530",NA,1,0,0,0,0
"387","46","43539",NA,1,0,1,0,0
"388","25","19793",NA,0,0,0,0,0
"389","46","43532",NA,0,0,0,0,0
"390","15","11078",NA,0,0,0,0,0
"391","33","26920",71,0,0,0,0,0
"392","15","11079",NA,0,0,0,0,0
"393","11","39658",26,0,0,0,0,0
"394","28","24240",NA,0,0,0,0,0
"395","28","24243",NA,1,0,0,0,0
"396","28","24242",NA,0,0,0,0,0
"397","15","11073",NA,0,0,0,0,0
"398","49","47344",NA,0,0,0,0,0
"399","15","11071",NA,0,0,0,0,0
"400","28","24257",NA,0,0,0,0,0
"401","40","37338",67,0,1,0,0,0
"402","15","11070",NA,0,0,0,0,0
"403","28","24256",NA,0,0,0,0,0
"404","28","24258",NA,0,0,0,1,0
"405","15","11072",NA,0,0,0,0,0
"406","15","11066",NA,0,0,1,0,0
"407","43","43277",72,0,0,1,1,1
"408","15","11069",NA,0,0,0,0,0
"409","8","9442",55,0,1,0,0,0
"410","28","24251",NA,0,0,0,0,0
"411","33","26922",59,0,1,1,0,1
"412","28","24253",NA,1,0,0,1,0
"413","49","47339",NA,0,0,0,0,0
"414","15","11064",NA,0,0,0,0,0
"415","28","24250",NA,1,0,1,1,1
"416","15","11063",NA,0,0,0,0,0
"417","6","6809",29,0,0,0,0,0
"418","11","39663",30,0,0,0,0,1
"419","28","24268",NA,0,0,0,0,0
"420","15","11060",NA,0,0,1,0,1
"421","15","11058",NA,0,0,0,0,1
"422","3","4955",NA,0,0,0,0,1
"423","15","11056",NA,0,0,0,0,0
"424","15","11055",NA,0,0,0,0,0
"425","3","4960",NA,0,0,1,0,0
"426","6","7156",NA,0,0,0,0,0
"427","11","39607",55,0,0,0,0,0
"428","15","11054",NA,0,0,0,0,0
"429","32","27472",6,0,0,0,0,0
"430","15","11053",NA,0,0,0,0,0
"431","15","11052",NA,0,0,0,0,0
"432","3","4949",NA,0,0,0,0,0
"433","3","4948",NA,0,0,0,0,0
"434","49","47353",NA,0,0,0,1,0
"435","3","4946",NA,1,0,1,1,0
"436","3","4945",NA,1,0,1,0,0
"437","28","24233",NA,0,0,0,0,0
"438","15","11050",NA,0,0,0,0,0
"439","28","24237",NA,1,0,0,0,0
"440","15","11047",NA,0,0,0,0,0
"441","15","11044",NA,0,0,0,0,0
"442","3","3185",9,0,0,0,0,0
"443","6","7143",NA,0,0,0,0,0
"444","15","11043",NA,0,0,0,0,0
"445","15","11059",NA,0,0,0,0,0
"446","3","4954",NA,1,0,0,0,0
"447","40","36103",58,0,0,1,0,1
"448","28","24280",NA,0,0,0,0,0
"449","28","24281",NA,0,0,0,0,0
"450","41","42649",4,0,0,0,0,0
"451","11","38438",72,0,0,0,0,1
"452","12","12067",30,0,1,0,0,0
"453","40","36112",51,0,1,0,0,1
"454","28","24299",NA,0,0,0,0,0
"455","49","47378",NA,1,0,1,0,0
"456","11","39628",27,0,0,0,0,0
"457","28","24295",NA,0,0,0,0,0
"458","28","24297",NA,0,0,0,0,0
"459","28","24291",NA,1,0,0,0,0
"460","28","24292",NA,0,0,0,1,0
"461","28","24290",NA,0,0,0,0,0
"462","25","19707",NA,0,0,0,0,0
"463","25","19701",NA,0,0,0,0,0
"464","25","19706",NA,0,0,0,0,0
"465","8","9429",32,1,1,1,1,1
"466","15","11037",NA,0,0,0,0,0
"467","15","11038",NA,0,0,0,0,0
"468","28","24293",NA,0,0,0,1,0
"469","11","39616",50,0,0,1,0,1
"470","28","24294",NA,0,0,0,0,0
"471","6","7111",NA,0,0,0,0,0
"472","10","9804",27,0,0,0,0,1
"473","28","24265",NA,0,0,0,0,0
"474","25","19700",NA,0,0,0,0,0
"475","28","24264",NA,0,0,0,0,0
"476","25","19719",NA,0,0,0,0,1
"477","25","19703",NA,0,0,0,0,0
"478","28","24278",NA,0,0,0,0,0
"479","28","24277",NA,0,0,0,0,0
"480","10","9803",35,0,0,0,0,0
"481","6","7113",NA,0,0,0,0,0
"482","28","24273",NA,0,0,0,1,0
"483","24","19811",NA,0,0,0,0,0
"484","28","24275",NA,0,0,0,1,0
"485","25","19723",NA,0,0,0,0,0
"486","25","19724",NA,0,0,0,0,0
"487","26","23589",33,0,0,0,1,1
"488","3","4918",NA,0,0,0,0,0
"489","28","24289",NA,1,0,1,0,0
"490","3","4910",NA,0,0,1,1,0
"491","28","24288",NA,0,0,0,1,0
"492","3","4914",NA,0,1,0,0,0
"493","28","24271",NA,0,0,0,0,0
"494","23","18184",NA,0,0,0,0,1
"495","42","40949",9,0,0,0,0,0
"496","23","18185",NA,0,0,0,1,0
"497","23","18183",NA,0,0,0,0,0
"498","14","31642",NA,1,0,0,0,0
"499","49","48948",NA,1,0,1,1,1
"500","33","35931",NA,0,0,0,0,0
"501","40","47522",100,1,0,0,0,0
"502","33","35927",NA,0,0,0,0,0
"503","33","35928",NA,0,0,0,0,0
"504","33","35929",NA,0,0,0,0,0
"505","41","41111",38,0,0,0,0,0
"506","49","48950",NA,0,0,0,0,0
"507","23","18178",NA,0,0,0,1,0
"508","49","48951",NA,0,0,0,0,0
"509","14","31644",NA,1,0,0,0,0
"510","33","35924",NA,0,0,0,0,0
"511","49","48952",NA,1,0,0,0,0
"512","23","18179",NA,0,0,0,0,0
"513","33","35923",NA,0,0,0,0,0
"514","23","18191",NA,0,0,0,0,0
"515","23","18192",NA,0,0,0,0,0
"516","23","18190",NA,0,0,0,0,0
"517","23","18196",NA,0,0,0,0,0
"518","23","18195",NA,0,0,0,0,0
"519","33","35920",NA,0,0,0,0,0
"520","33","35922",NA,0,0,0,0,0
"521","33","35917",NA,0,0,0,0,0
"522","33","35918",NA,0,0,0,0,0
"523","33","35919",NA,0,0,0,0,0
"524","33","35911",NA,0,0,0,0,0
"525","33","35909",NA,0,0,0,0,0
"526","23","18180",NA,0,0,0,0,0
"527","33","35912",NA,0,0,0,0,0
"528","23","18187",NA,0,0,0,0,0
"529","23","18186",NA,0,0,0,0,0
"530","36","30104",NA,0,0,0,0,0
"531","14","31662",NA,0,0,0,0,0
"532","33","35952",NA,0,0,0,0,0
"533","33","35954",NA,0,0,0,0,0
"534","33","35953",NA,0,0,0,0,0
"535","49","48976",NA,0,0,0,0,0
"536","36","30102",NA,0,0,0,0,0
"537","33","35940",NA,1,0,1,1,1
"538","14","31666",NA,0,0,0,0,0
"539","33","35948",NA,0,0,0,0,0
"540","33","35945",NA,0,0,0,0,0
"541","23","18199",NA,0,0,0,0,0
"542","23","18198",NA,0,0,0,0,0
"543","33","35947",NA,0,0,0,0,0
"544","14","31660",NA,0,0,0,0,0
"545","14","31651",NA,1,0,1,1,0
"546","35","29007",NA,0,0,0,0,0
"547","35","29008",NA,0,0,0,0,0
"548","33","35943",NA,0,0,1,0,1
"549","33","35944",NA,0,0,0,0,0
"550","33","35932",NA,1,1,0,0,0
"551","33","35933",NA,0,0,1,0,1
"552","35","29009",NA,0,0,0,0,0
"553","49","48989",NA,0,0,0,0,0
"554","49","48971",NA,1,0,0,0,0
"555","33","35936",NA,0,0,0,0,0
"556","33","35939",NA,0,0,1,0,1
"557","36","30127",NA,1,0,0,0,0
"558","33","35975",NA,0,0,0,0,0
"559","33","35976",NA,0,0,0,0,0
"560","11","39566",29,0,1,0,0,1
"561","15","11085",NA,0,0,0,0,0
"562","15","11084",NA,0,0,0,0,0
"563","35","29006",NA,1,0,0,0,0
"564","35","29002",NA,0,0,0,0,0
"565","15","11080",NA,0,0,0,0,0
"566","35","29003",NA,0,0,0,0,0
"567","14","31687",NA,0,0,0,0,0
"568","15","11081",NA,0,0,0,0,0
"569","15","11083",NA,0,0,0,0,0
"570","35","29000",NA,0,0,1,0,0
"571","46","43703",29,0,1,0,0,0
"572","15","11082",NA,0,0,0,0,0
"573","36","30122",NA,0,0,0,0,0
"574","14","31683",NA,0,1,0,0,0
"575","36","30123",NA,0,0,0,0,0
"576","49","48994",NA,0,0,0,0,0
"577","36","30124",NA,0,0,0,0,0
"578","33","35961",NA,0,0,0,0,0
"579","33","35966",NA,0,0,0,0,0
"580","36","30138",NA,0,0,0,0,0
"581","15","11096",NA,0,0,0,0,0
"582","49","48990",NA,0,0,0,0,0
"583","11","39569",30,0,0,0,0,1
"584","49","48991",NA,0,0,0,0,0
"585","11","39558",40,0,0,0,0,0
"586","15","11095",NA,0,0,0,0,0
"587","35","29010",NA,0,0,0,0,0
"588","11","40060",71,0,0,1,0,1
"589","35","29011",NA,1,0,0,0,0
"590","15","11093",NA,0,0,0,0,0
"591","35","29014",NA,0,0,0,0,1
"592","35","29017",NA,0,0,0,0,0
"593","36","30139",NA,0,1,1,0,0
"594","15","11097",NA,0,0,0,0,0
"595","35","29015",NA,0,0,0,0,0
"596","14","31676",NA,0,0,0,0,0
"597","36","30137",NA,0,1,0,0,1
"598","14","31670",NA,0,0,0,1,0
"599","35","29020",NA,1,0,0,0,0
"600","33","35958",NA,0,1,0,0,0
"601","15","11099",NA,0,0,0,0,0
"602","14","31677",NA,1,0,0,0,0
"603","33","35957",NA,0,0,0,0,0
"604","49","48993",NA,0,1,0,0,1
"605","36","30135",NA,0,1,1,0,0
"606","33","35950",NA,0,0,0,0,0
"607","33","35951",NA,0,0,0,0,0
"608","36","30140",NA,0,0,0,0,1
"609","36","30141",NA,0,0,0,0,1
"610","36","30142",NA,0,0,0,0,0
"611","14","31690",NA,0,0,0,1,0
"612","33","35999",NA,0,0,0,0,0
"613","33","35993",NA,0,0,0,0,0
"614","33","35996",NA,0,0,0,0,1
"615","33","35997",NA,0,0,0,0,0
"616","33","26899",3,0,0,0,1,1
"617","35","29026",NA,0,1,0,0,0
"618","36","30148",NA,0,0,0,0,1
"619","36","30149",NA,0,0,0,0,0
"620","11","39563",52,0,0,0,0,0
"621","35","29023",NA,0,0,0,1,1
"622","46","43722",27,1,1,0,0,0
"623","46","43710",53,0,0,0,0,0
"624","1","1953",46,0,0,0,0,0
"625","36","30144",NA,0,0,0,0,0
"626","33","35983",NA,0,0,0,0,1
"627","46","43731",26,0,0,0,0,0
"628","36","30146",NA,0,0,0,0,0
"629","36","30145",NA,0,0,0,0,1
"630","36","30147",NA,0,0,0,0,0
"631","36","30153",NA,0,1,1,0,1
"632","46","43716",23,0,0,0,0,0
"633","23","18173",NA,0,0,0,1,0
"634","14","31695",NA,0,0,0,0,0
"635","33","35979",NA,0,0,0,0,0
"636","11","40097",66,0,1,1,0,1
"637","35","29040",NA,0,0,0,0,0
"638","46","43712",41,1,0,0,1,0
"639","33","35977",NA,0,0,0,0,0
"640","11","39557",49,0,0,0,0,1
"641","33","35972",NA,0,0,0,0,0
"642","36","30151",NA,0,0,0,0,0
"643","33","35973",NA,0,0,1,0,1
"644","36","30152",NA,0,1,0,0,0
"645","36","30154",NA,0,0,0,0,0
"646","11","39562",27,0,0,0,0,1
"647","23","18109",NA,0,0,0,0,0
"648","36","30163",NA,0,1,0,0,0
"649","11","40056",57,0,0,0,0,0
"650","5","3981",NA,0,0,0,0,0
"651","23","18107",NA,0,0,0,0,0
"652","36","29780",51,0,0,0,0,0
"653","36","30150",NA,0,0,0,0,0
"654","5","3975",NA,0,0,0,1,0
"655","5","3978",NA,0,0,0,0,0
"656","35","29053",NA,0,0,0,1,0
"657","35","29052",NA,1,0,0,1,0
"658","5","3974",NA,0,0,0,0,0
"659","35","29049",NA,0,0,0,0,0
"660","35","29048",NA,0,0,0,0,0
"661","10","33841",NA,0,0,0,1,0
"662","5","3968",NA,0,0,1,0,0
"663","6","5681",33,0,0,0,0,0
"664","6","5690",29,0,0,0,1,0
"665","35","29045",NA,1,0,0,0,0
"666","13","13211",76,0,1,0,0,0
"667","5","3992",NA,0,0,0,0,0
"668","10","33858",NA,0,0,1,0,0
